
book_id,title,authors,average_ratings,description,language,isbn,genre,number_of_pages,publisher,publication_date,rating_counts,price_in_$,text-review_counts,category,sub_genre
28413.The_Ladies_Paradise,The Ladies' Paradise,"Émile Zola, Robin Buss (Translator), Brian Nelson (Translator)",4.0,"The Ladies Paradise (Au Bonheur des Dames) recounts the rise of the modern department store in late nineteenth-century Paris. The store is a symbol of capitalism, of the modern city, and of the bourgeois family: it is emblematic of changes in consumer culture, and the changes in sexual attitudes and class relations taking place at the end of the century. This new translation of the eleventh novel in Zola's Rougon-Macquart cycle captures the spirit of one of his greatest works.",English,9780192836021,Classics,438,Oxford University Press,2008-09-01,11818,2.42,342,Fiction,"('Fiction', 'France', 'French Literature', 'Historical Fiction', '19th Century', 'Romance', 'Literature', 'Novels', 'Historical')"
662.Atlas_Shrugged,Atlas Shrugged,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",3.69,"This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, that is the first of your premises to check.",English,9780452011878,Classics,1168,Plume,1999-08-01,353814,4.41,14702,Capitalism,"('Philosophy', 'Literature', 'Politics', 'Science Fiction', 'Dystopia', 'Economics', 'Novels', 'Audiobook', 'Fiction')"
24178.Charlotte_s_Web,Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",4.17,"This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams, the acclaimed illustrator of E. B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.",English,9780064410939,Classics,184,HarperCollinsPublishers,2001-10-01,1417302,6.15,14739,Juvenile Fiction,"('Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books')"
1946.Little_Women_Little_Men_Jo_s_Boys,"Little Women, Little Men, Jo's Boys","Louisa May Alcott, Elaine Showalter (Editor)",4.34,"Little Women, Good Wives, Little Men and Jo's Boys are a series of novels by American author Louisa May Alcott (1832-1888). The books are loosely based on the author's childhood experiences with her three sisters. The novels are classics - the publisher unable to keep up with the demand when the first book in the series was published. Themes of romance, family drama, gender constraints and the validation of virtue over wealth are explored in these timeless stories.",English,9781931082730,Classics,1064,Library of America,2005-02-17,5737,8.5,87,Fiction,"('Fiction', 'Literature', 'Historical Fiction', 'Childrens', 'Young Adult', 'Historical', 'American', '19th Century', 'Romance')"
25932.Lost_Illusions,Lost Illusions,"Honoré de Balzac, Ellen Marriage (Translator), George Saintsbury (Introduction)",4.17,"Handsome would-be poet Lucien Chardon is poor and naive, but highly ambitious. Failing to make his name in his dull provincial hometown, he is taken up by a patroness, the captivating married woman Madame de Bargeton, and prepares to forge his way in the glamorous beau monde of Paris. But Lucien has entered a world far more dangerous than he realized, as Madame de Bargeton's reputation becomes compromised and the fickle, venomous denizens of the courts and salons conspire to keep him out of their ranks. Lucien eventually learns that, wherever he goes, talent counts for nothing in comparison to money, intrigue and unscrupulousness. Lost Illusions is one of the greatest novels in the rich procession of the Comedie humaine, Balzac's panoramic social and moral history of his times.",English,9781406506587,Classics,656,Dodo Press,2006-05-01,8541,20.56,161,Fiction,"('Fiction', 'France', 'French Literature', 'Literature', '19th Century', 'Novels', 'Literary Fiction', 'Roman', 'Classic Literature')"
37638.Evelina,Evelina,"Frances Burney, Edward A. Bloom (Editor)",3.67,"Frances Burney's first and most enduringly popular novel is a vivid, satirical, and seductive account of the pleasures and dangers of fashionable life in late eighteenth-century London. As she describes her heroine's entry into society, womanhood and, inevitably, love, Burney exposes the vulnerability of female innocence in an image-conscious and often cruel world where social snobbery and sexual aggression are played out in the public arenas of pleasure-gardens, theatre visits, and balls. But Evelina's innocence also makes her a shrewd commentator on the excesses and absurdities of manners and social ambitions--as well as attracting the attention of the eminently eligible Lord Orville. Evelina, comic and shrewd, is at once a guide to fashionable London, a satirical attack on the new consumerism, an investigation of women's position in the late eighteenth century, and a love story. The new introduction and full notes to this edition help make this richness all the more readily available to a modern reader.",English,9780192840318,Classics,455,Oxford University Press,2002-07-18,14873,3.05,495,Fiction,"('Fiction', 'Romance', '18th Century', 'Historical Fiction', 'Literature', 'British Literature', 'Novels', 'Historical', 'School')"
2156.Persuasion,Persuasion,"Jane Austen, Deidre Shauna Lynch (Introduction), James Kinsley (Editor)",4.14,"Twenty-seven-year old Anne Elliot is Austen's most adult heroine. Eight years before the story proper begins, she is happily betrothed to a naval officer, Frederick Wentworth, but she precipitously breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret. When later Wentworth returns from sea a rich and successful captain, he finds Anne's family on the brink of financial ruin and his own sister a tenant in Kellynch Hall, the Elliot estate. All the tension of the novel revolves around one question: Will Anne and Wentworth be reunited in their love?Jane Austen once compared her writing to painting on a little bit of ivory, 2 inches square. Readers of Persuasion will discover that neither her skill for delicate, ironic observations on social custom, love, and marriage nor her ability to apply a sharp focus lens to English manners and morals has deserted her in her final finished work.",English,9780192802637,Classics,249,Oxford University Press,2004-03-18,524408,1.39,11308,Fiction,"('Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', '19th Century', 'British Literature', 'Classic Literature', 'Historical Romance')"
18521.A_Room_of_One_s_Own,A Room of One's Own,Virginia Woolf,4.16,"A Room of One's Own is an extended essay by Virginia Woolf. First published on the 24th of October, 1929, the essay was based on a series of lectures she delivered at Newnham College and Girton College, two women's colleges at Cambridge University in October 1928. While this extended essay in fact employs a fictional narrator and narrative to explore women both as writers and characters in fiction, the manuscript for the delivery of the series of lectures, titled Women and Fiction, and hence the essay, are considered nonfiction. The essay is seen as a feminist text, and is noted in its argument for both a literal and figural space for women writers within a literary tradition dominated by patriarchy.",English,9780141183534,Classics,112,Penguin Books,2000-01-01,118000,1.85,3436,Fiction,"('Nonfiction', 'Feminism', 'Essays', 'Writing', 'Philosophy', 'Literature', 'Womens', '20th Century', 'British Literature')"
12950.The_Turn_of_the_Screw_and_The_Aspern_Papers,The Turn of the Screw and The Aspern Papers,"Henry James, Anthony Curtis (Introduction)",3.79,"'The apparition had reached the landing half-way up and was therefore on the spot nearest the window, where, at the sight of me, it stopped short'Oscar Wilde called James's chilling The Turn of the Screw 'a most wonderful, lurid poisonous little tale.' It tells of a young governess sent to a country house to take charge of two orphans, Miles and Flora. Unsettled by a sense of intense evil within the house, she soon becomes obsessed with the belief that malevolent forces are stalking the children in her care. Obsession of a more worldly variety lies at the heart of The Aspern Papers, the tale of a literary historian determined to get his hands on some letters written by a great poet-and prepared to use trickery and deception to achieve his aims. Both works show James's mastery of the short story and his genius for creating haunting atmosphere and unbearable tension.Anthony Curtis's wide-ranging introduction traces the development of the two stories from initial inspiration to finished work and examines their critical reception.",English,9780141439907,Classics,272,Penguin Books,2003-06-26,7403,0.85,270,Fiction,"('Fiction', 'Horror', 'Gothic', 'Literature', 'Short Stories', 'Mystery', '19th Century', 'American', 'Novels')"
23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,Edgar Allan Poe,4.38,"This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.",English,9780385074070,Classics,821,"Doubleday & Company, Inc.",1984-08-15,220153,5.27,1226,Fiction,"('Poetry', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic', 'Literature', 'Fantasy', 'Classic Literature')"
